id,name,open,labeled,commented,closed
MDU6SXNzdWUyMTcyODk1OTA=,https://github.com/airbnb/visx/issues/1,2017-03-27T15:45:45Z,2017-03-27T15:57:07Z,2017-05-08T22:23:48Z,2017-10-06T22:44:54Z
MDU6SXNzdWUyMjU1NDk0NDM=,https://github.com/airbnb/visx/issues/4,2017-05-01T23:02:12Z,2017-10-06T22:54:04Z,2017-10-23T14:53:47Z,2020-08-25T01:50:23Z
MDU6SXNzdWUyMjcxNzAxNDg=,https://github.com/airbnb/visx/issues/6,2017-05-08T20:49:51Z,,2017-06-19T08:04:53Z,2017-10-06T22:49:35Z
MDU6SXNzdWUyMjcxNzAzNzg=,https://github.com/airbnb/visx/issues/7,2017-05-08T20:50:46Z,2017-10-06T22:53:54Z,,2019-01-31T00:36:31Z
MDU6SXNzdWUyMjcxNzA1Mzc=,https://github.com/airbnb/visx/issues/8,2017-05-08T20:51:20Z,2017-10-06T22:53:43Z,,2018-01-17T00:32:01Z
MDU6SXNzdWUyMjcxNzA4NjE=,https://github.com/airbnb/visx/issues/9,2017-05-08T20:52:29Z,,2017-05-09T15:31:29Z,2019-01-28T17:00:33Z
MDU6SXNzdWUyMjcxNzA5NjI=,https://github.com/airbnb/visx/issues/10,2017-05-08T20:52:50Z,,,2018-10-08T18:58:45Z
MDU6SXNzdWUyMjcxNzExNTU=,https://github.com/airbnb/visx/issues/11,2017-05-08T20:53:34Z,,2017-05-10T13:09:42Z,2021-04-03T16:17:35Z
MDU6SXNzdWUyMjcxNzEzOTc=,https://github.com/airbnb/visx/issues/12,2017-05-08T20:54:26Z,,2020-09-16T20:52:17Z,2020-09-16T20:52:17Z
MDU6SXNzdWUyMjcxNzE0ODI=,https://github.com/airbnb/visx/issues/13,2017-05-08T20:54:53Z,,2020-09-16T20:50:46Z,2020-09-16T20:50:46Z
MDU6SXNzdWUyMjcxNzE5Mjk=,https://github.com/airbnb/visx/issues/14,2017-05-08T20:56:23Z,2017-10-06T22:42:42Z,2017-09-01T15:43:56Z,2019-12-18T22:14:20Z
MDU6SXNzdWUyMjcxNzMwNjg=,https://github.com/airbnb/visx/issues/15,2017-05-08T21:00:21Z,,2017-06-26T17:14:13Z,2017-10-06T21:16:36Z
MDU6SXNzdWUyMjcxNzQ3ODM=,https://github.com/airbnb/visx/issues/16,2017-05-08T21:07:04Z,2017-10-06T22:42:25Z,2017-09-13T14:22:50Z,2018-01-12T18:33:02Z
MDU6SXNzdWUyMjg0OTk4MjU=,https://github.com/airbnb/visx/issues/20,2017-05-13T20:54:46Z,,2017-05-16T00:25:57Z,2017-07-12T02:00:15Z
MDU6SXNzdWUyMjg1MDA3NDM=,https://github.com/airbnb/visx/issues/21,2017-05-13T21:11:24Z,,2017-05-16T00:24:52Z,2017-05-16T17:26:41Z
MDU6SXNzdWUyMjg3ODQ0Mzg=,https://github.com/airbnb/visx/issues/25,2017-05-15T17:20:09Z,,,2017-07-12T01:59:59Z
MDU6SXNzdWUyMjkxMTA4MjQ=,https://github.com/airbnb/visx/issues/26,2017-05-16T17:30:14Z,,2017-05-18T00:09:12Z,2017-05-19T03:08:59Z
MDU6SXNzdWUyMzAxOTY4NDg=,https://github.com/airbnb/visx/issues/33,2017-05-21T04:49Z,,,2017-08-18T16:08:26Z
MDU6SXNzdWUyMzA0NTgwNDc=,https://github.com/airbnb/visx/issues/38,2017-05-22T16:56:51Z,,,2017-05-22T23:58:50Z
MDU6SXNzdWUyMzExMDczODk=,https://github.com/airbnb/visx/issues/41,2017-05-24T16:59:27Z,2017-05-24T17:10:10Z,2017-06-30T09:24:09Z,
MDU6SXNzdWUyMzExNjcyMzQ=,https://github.com/airbnb/visx/issues/43,2017-05-24T20:50:11Z,,2017-05-25T00:21:24Z,2017-06-05T06:00:24Z
MDU6SXNzdWUyMzExNjc0NDY=,https://github.com/airbnb/visx/issues/44,2017-05-24T20:50:53Z,,2017-05-25T00:21:07Z,2017-07-05T04:54:16Z
MDU6SXNzdWUyMzI5NDI4NDE=,https://github.com/airbnb/visx/issues/47,2017-06-01T16:50:05Z,,2017-06-01T16:58:12Z,2017-06-01T17:53:17Z
MDU6SXNzdWUyMzMzMDEyNTc=,https://github.com/airbnb/visx/issues/50,2017-06-02T21:05:29Z,,2017-06-02T21:26:09Z,2017-06-02T21:26:09Z
MDU6SXNzdWUyMzM0MDUzODI=,https://github.com/airbnb/visx/issues/51,2017-06-04T01:26:27Z,,2017-06-04T06:27:06Z,2017-06-04T06:58:01Z
MDU6SXNzdWUyMzQ0NDM2Mzg=,https://github.com/airbnb/visx/issues/54,2017-06-08T08:05:25Z,,2017-06-08T17:01:37Z,2017-06-09T00:07:07Z
MDU6SXNzdWUyMzQ1MjQ4OTQ=,https://github.com/airbnb/visx/issues/55,2017-06-08T13:20:03Z,,2017-06-09T03:06:36Z,2017-07-12T02:00:46Z
MDU6SXNzdWUyMzQ1MjUyMTE=,https://github.com/airbnb/visx/issues/56,2017-06-08T13:21:07Z,2017-06-19T17:48:05Z,2017-06-13T11:14:08Z,2020-05-08T22:35:34Z
MDU6SXNzdWUyMzU3MDU4NTI=,https://github.com/airbnb/visx/issues/64,2017-06-13T22:00:47Z,2017-06-14T00:32:47Z,2017-06-14T00:33:03Z,2017-08-16T14:28:55Z
